ra,dec,u,g,r,i,z,objid,specobjid,class,subclass,survey,plate,mjd,fiberid,ra1,dec1,u1,g1,r1,i1,z1,objid1,specobjid1,class1,subclass1,survey1,plate1,mjd1,fiberid1,cor,cor_logit
264.990235741255,53.6257369708369,19.94693,17.80724,17.05085,16.55598,16.59774,1237656529995497500,407602462971684860,STAR,K3,sdss,362,51999,97,244.65587543206,0.423584883812319,20.01635,19.9159,19.20183,18.75114,18.4612,1237648597727249200,389699384880687100,STAR,K7,sdss,346,51693,502,0.4962350448104659,-2.200697902344366
162.992284784028,0.887868545014585,21.12969,18.57925,16.99156,15.75878,15.09814,1237674651531870500,310860006746515460,STAR,M3,sdss,276,51909,406,248.579771204684,-0.91990364499348,21.13174,18.35785,16.857,15.70427,15.04049,1237648672923583200,391851403645052900,STAR,M3,sdss,348,51671,139,0.998660096340767,0.9783436687798869
167.987051759834,0.563577414310795,20.70552,19.23802,18.70238,18.41905,18.34278,1237674650997162e3,313150289316177900,STAR,G2,sdss,278,51900,546,248.594276741992,-0.857170460820317,20.5537,19.38764,18.85223,18.58354,18.41999,1237648672923583200,391850579011332100,STAR,G0,sdss,348,51671,136,0.9911390697427633,0.010771579348924016
134.332157387282,0.294784564396089,21.382930000000002,19.21441,18.5057,17.78919,17.49308,1237648721747640600,526928885061806100,STAR,K5,sdss,468,51912,28,249.105508332209,-0.904646407449235,20.21005,18.56258,17.87084,17.22516,16.5759,1237648672923845e3,391827214389241860,STAR,M6,sdss,348,51671,51,0.021186864155481752,-2.7355023296049823
145.84174073867,-0.27775417839393,18.4085,17.16402,16.95854,16.87708,16.88028,1237650795682988e3,299543553514694660,STAR,A0,sdss,266,51630,197,249.583195710872,-0.915852881233561,19.56442,18.31213,18.15499,18.12128,18.10196,1237648672924041700,391814295127615500,STAR,A0,sdss,348,51671,4,0.9955146736084761,0.35992508581636645
146.176134062155,-0.982427731732799,18.88086,17.73562,17.57361,17.55848,17.5657,1237648720142205e3,299511942555396100,STAR,A0,sdss,266,51630,82,249.623633358215,-0.891331627613787,19.81026,18.51955,18.43113,18.43421,18.44102,1237648672924042e3,391817868540405760,STAR,A0,sdss,348,51671,17,0.9972159525855805,0.6041448107098576
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,189.44854453545,-0.0527452431680111,18.97562,17.84829,17.49412,17.374,17.35097,1237648673971437600,327722117388855300,STAR,F2,sdss,291,51928,310,0.9927453936102851,0.11342734324911077
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,249.276761303109,-0.0718398019812645,19.91524,18.71029,18.22785,18.03982,17.91227,1237648673997652700,391854977057843200,STAR,F2,sdss,348,51671,152,0.9455389533721352,-0.9292876341706571
169.689125964165,-0.751985424559135,21.16707,19.12651,18.16441,17.7687,17.54568,1237674649387335700,314131604853254140,STAR,K5,sdss,279,51984,20,249.429780637867,-0.0698686882353113,21.3374,19.26111,18.38202,18.00914,17.80343,1237648673997717500,391845906086914050,STAR,K3,sdss,348,51671,119,0.4926361083557255,-2.2055678574063067
193.323603670296,-0.331879564462377,18.7499,16.7482,15.96372,15.68902,15.54343,1237648704044531700,329976387093948400,STAR,K3,sdss,293,51689,319,249.949205815486,-0.0920205516176903,18.93357,16.99811,16.28914,16.05847,15.93387,1237648673997914600,391824190732265500,STAR,K1,sdss,348,51671,40,0.9611413628774471,-0.752653322574896
