ra,dec,u,g,r,i,z,objid,specobjid,class,subclass,survey,plate,mjd,fiberid,ra1,dec1,u1,g1,r1,i1,z1,objid1,specobjid1,class1,subclass1,survey1,plate1,mjd1,fiberid1,cor
183.79821944835,0.170505458206148,22.39767,19.41875,18.05591,17.4611,17.09486,1237648704577273900,364944979639953400,STAR,K7,sdss,324,51666,558,23.1388214041174,-10.1486120606652,20.5696,17.85285,16.49731,15.90257,15.58622,1237652616204583200,2155054947631130600,STAR,K7,segue1,1914,53729,300,0.9881486212928042
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,23.3330182644394,-10.1575650833019,18.19353,16.94685,16.47239,16.26631,16.18578,1237652616204648400,2155054397875316700,STAR,F9,segue1,1914,53729,298,0.9942590462649535
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,23.2258362392637,-10.1432197577443,19.10744,18.13993,17.83541,17.70966,17.67854,1237652616204648400,2155053023485782e3,STAR,F5,segue1,1914,53729,293,0.9750893914263324
210.337210040338,-0.474453574422901,20.16176,18.4378,17.71461,17.35842,17.19664,1237648720707125500,338925591354959900,STAR,K3,sdss,301,51942,108,354.833627848507,-10.6257667593843,20.32119,18.55388,17.90874,17.61251,17.50969,1237652629096366e3,3539863471883657e3,STAR,K1,segue2,3144,54763,124,0.8777800432349082
169.689125964165,-0.751985424559135,21.16707,19.12651,18.16441,17.7687,17.54568,1237674649387335700,314131604853254140,STAR,K5,sdss,279,51984,20,354.882604551118,-10.6078926158494,20.80028,18.54597,17.60614,17.2946,17.13105,1237652629096366e3,3539866770418540500,STAR,K3,segue2,3144,54763,136,0.879661766969223
146.176134062155,-0.982427731732799,18.88086,17.73562,17.57361,17.55848,17.5657,1237648720142205e3,299511942555396100,STAR,A0,sdss,266,51630,82,354.91935333508,-10.4943481993206,20.25727,19.07829,18.9217,18.99271,18.96233,1237652629096366e3,3539865396029006e3,STAR,A0,segue2,3144,54763,131,0.9933743925055395
166.635168076666,-0.878224883123377,21.0641,18.59718,17.53441,17.13069,16.91208,1237648720151118e3,313071399356885e3,STAR,K5,sdss,278,51900,259,354.935523726305,-10.5771721833033,19.96417,17.57051,16.57312,16.22207,16.07203,1237652629096431600,3539864571395285e3,STAR,K5,segue2,3144,54763,128,0.9028108534964991
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,354.950397811645,-10.5158801468344,20.37027,19.42222,19.126830000000002,18.98668,19.03668,1237652629096431600,3539864021639471e3,STAR,A0,segue2,3144,54763,126,0.97917986276681
205.910567486995,-0.344157574054239,20.2399,18.80597,18.14108,17.86193,18.01416,1237648704050037e3,336664166267906050,STAR,F9,sdss,299,51671,73,354.955449180975,-10.6517371679172,19.72054,18.26618,17.65545,17.3986,17.29881,1237652629096431600,3539866495540633600,STAR,F9,segue2,3144,54763,135,0.8958603970444077
205.910567486995,-0.344157574054239,20.2399,18.80597,18.14108,17.86193,18.01416,1237648704050037e3,336664166267906050,STAR,F9,sdss,299,51671,73,355.077860279326,-10.5392503157293,19.65532,18.11906,17.49992,17.22985,17.13841,1237652629096431600,3539854675790635e3,STAR,K1,segue2,3144,54763,92,0.9165278217259363
145.292820879058,0.376326323154304,19.31302,18.13527,17.67289,17.49996,17.44187,1237648721752424700,299584510322829300,STAR,F2,sdss,266,51630,346,355.222071266708,-10.5058871222648,18.61203,17.54172,17.14611,16.9848,16.95884,1237652629096497200,3539855500424356e3,STAR,F5,segue2,3144,54763,95,0.9856004962400885
177.249154562084,1.08293152080683,17.26816,16.25302,15.9382,15.82679,15.78908,1237671128052596700,319845491217033200,STAR,F5,sdss,284,51943,327,355.106904741729,-10.4973168410184,19.63136,18.67699,18.44249,18.33612,18.32288,1237652629096497200,3539854126034821e3,STAR,A0,segue2,3144,54763,90,0.9748951748299524
147.017918009305,-0.127268230818211,18.67938,18.26975,18.34097,18.46216,18.59776,1237648721216274400,299497923782141950,STAR,WD,sdss,266,51630,31,355.376330678277,-10.6692057980362,18.39179,17.04249,17.17929,17.30091,17.37086,1237652629096562700,3539856050180169700,STAR,A0,segue2,3144,54763,97,0.9919474497466998
169.689125964165,-0.751985424559135,21.16707,19.12651,18.16441,17.7687,17.54568,1237674649387335700,314131604853254140,STAR,K5,sdss,279,51984,20,355.688341500622,-10.6524144998253,19.10286,16.83525,15.91076,15.59386,15.43964,1237652629096693800,3539844505308078e3,STAR,K5,segue2,3144,54763,55,0.9749027271288825
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,355.795126798001,-10.7037439427708,17.56174,16.51574,16.15845,16.02568,15.98823,1237652629096759300,2602033097578932e3,STAR,F5,segue1,2311,54331,285,0.9982293807756301
183.216044895339,0.200613869852646,20.93703,19.14316,18.37123,18.02899,17.81776,1237648704577011700,364927937209722900,STAR,K3,sdss,324,51666,496,355.760603906691,-10.6263989266717,20.02952,18.25227,17.53605,17.23467,17.07923,1237652629096759300,3539843955552264e3,STAR,K3,segue2,3144,54763,53,0.7699866135900532
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,355.760410017031,-10.6883889163022,19.26585,17.99504,17.48726,17.29133,17.2525,1237652629096759300,3539845604819706e3,STAR,F9,segue2,3144,54763,59,0.9397950087823211
178.234273850894,-1.05582204914454,19.68501,17.8984,17.24895,17.03903,16.91506,1237674648854200600,3.1978062003099443e+17,STAR,K1,sdss,284,51943,91,355.836394348828,-10.6969489760363,18.88374,17.38602,16.79682,16.60221,16.52369,1237652629096759300,2602033922212653e3,STAR,F9,segue1,2311,54331,288,0.8504832230710734
145.637274596775,0.373311362607902,19.20753,17.87736,17.30583,17.08623,16.96132,1237648721752555500,299596604950734850,STAR,F9,sdss,266,51630,390,355.868646934878,-10.5442750773382,19.93118,18.341,17.78405,17.59734,17.5372,1237652629096824800,2602027600020793300,STAR,F9,segue1,2311,54331,265,0.99822584383439
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,355.891395572613,-10.552886366528,19.74495,18.80554,18.47381,18.37469,18.40504,1237652629096824800,3539832135802265600,STAR,F5,segue2,3144,54763,10,0.9645933514847533
183.66911218128,0.58550836325769,20.38439,18.71956,17.97593,17.69362,17.52542,1237648705114079500,364944155006232600,STAR,K3,sdss,324,51666,555,355.899804428294,-10.6680491141227,19.89363,18.30628,17.6578,17.37708,17.261,1237652629096824800,3539830761412731e3,STAR,F9,segue2,3144,54763,5,0.5724547610632313
183.216044895339,0.200613869852646,20.93703,19.14316,18.37123,18.02899,17.81776,1237648704577011700,364927937209722900,STAR,K3,sdss,324,51666,496,355.94884853534103,-10.7036108445035,20.48709,18.40029,17.68463,17.40454,17.20483,1237652629096824800,3539832685558079500,STAR,K3,segue2,3144,54763,12,0.8211093618771477
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,355.98128074142,-10.68091700739,18.97287,17.65462,17.14314,16.94939,16.85067,1237652629096824800,3539831586046451700,STAR,F9,segue2,3144,54763,8,0.9324224145964513
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,356.114908599882,-10.6017355649444,18.45077,16.98134,16.45678,16.25535,16.18621,1237652629096890400,2602034746846374e3,STAR,F9,segue1,2311,54331,291,0.9870566555828905
183.216044895339,0.200613869852646,20.93703,19.14316,18.37123,18.02899,17.81776,1237648704577011700,364927937209722900,STAR,K3,sdss,324,51666,496,356.00460518574903,-10.6468533630342,19.55012,17.84339,17.16911,16.89026,16.71847,1237652629096890400,3539831860924358700,STAR,F9,segue2,3144,54763,9,0.6246571020293286
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,356.282758933018,-10.6467359742627,17.72516,16.41732,15.90443,15.69819,15.61725,1237652629096956e3,2602023201974282e3,STAR,F9,segue1,2311,54331,249,0.9668121255246629
179.134074718363,-0.565218035971066,20.02479,19.02817,18.92691,18.91533,18.97368,1237648720693494300,319761378577508350,STAR,A0,sdss,284,51943,21,356.294452406315,-10.6732975427709,16.68828,15.53391,15.49751,15.52665,15.59236,1237652629096956e3,2602024851241724e3,STAR,A0,segue1,2311,54331,255,0.9945112183373032
205.910567486995,-0.344157574054239,20.2399,18.80597,18.14108,17.86193,18.01416,1237648704050037e3,336664166267906050,STAR,F9,sdss,299,51671,73,356.202798262868,-10.7034746332143,19.9667,18.30291,17.64975,17.41751,17.28166,1237652629096956e3,3539829661901103e3,STAR,K1,segue2,3144,54763,1,0.8475909027260647
205.910567486995,-0.344157574054239,20.2399,18.80597,18.14108,17.86193,18.01416,1237648704050037e3,336664166267906050,STAR,F9,sdss,299,51671,73,356.279068513451,-10.6243213257233,19.46902,18.17839,17.59953,17.37391,17.26212,1237652629096956200,2602025675875444700,STAR,F9,segue1,2311,54331,258,0.8558015805193516
178.234273850894,-1.05582204914454,19.68501,17.8984,17.24895,17.03903,16.91506,1237674648854200600,3.1978062003099443e+17,STAR,K1,sdss,284,51943,91,356.324055645536,-10.579937097444,19.85088,18.26641,17.68402,17.48676,17.33873,1237652629097021400,2602023751730096e3,STAR,F9,segue1,2311,54331,251,0.7798342523591454
178.0716233248,-0.818830451890139,19.27322,17.9815,17.52752,17.35335,17.30853,1237674649391005700,319792439780993e3,STAR,F9,sdss,284,51943,134,356.489882941855,-10.6373300538492,18.66332,17.59731,17.24283,17.07674,17.0436,1237652629097087e3,260201440588126e4,STAR,F5,segue1,2311,54331,217,0.9455276807241619
145.292820879058,0.376326323154304,19.31302,18.13527,17.67289,17.49996,17.44187,1237648721752424700,299584510322829300,STAR,F2,sdss,266,51630,346,356.72920755688,-10.6554926522512,19.18715,18.01932,17.59412,17.43907,17.36062,1237652629097152800,2.6020133063696323e+18,STAR,G0,segue1,2311,54331,213,0.9840306195100319
145.674201774357,-0.380765117132352,17.65463,16.52501,16.14332,15.99839,15.95519,1237650795682922800,299553723997251600,STAR,G0,sdss,266,51630,234,4.75095245328176,-10.723670668651,19.05255,18.07497,17.70874,17.5889,17.55348,1237652629100626e3,2152798467578161200,STAR,F5,segue1,1912,53293,283,0.9942605535239799
