ra,dec,u,g,r,i,z,objid,specobjid,class,subclass,survey,plate,mjd,fiberid,ra1,dec1,u1,g1,r1,i1,z1,objid1,specobjid1,class1,subclass1,survey1,plate1,mjd1,fiberid1,cor
169.689125964165,-0.751985424559135,21.16707,19.12651,18.16441,17.7687,17.54568,1237674649387335700,314131604853254140,STAR,K5,sdss,279,51984,20,183.327714320283,-0.634742529261083,20.89392,18.70679,17.79427,17.45066,17.28538,123764867343188e4,364815512145782800,STAR,K5,sdss,324,51666,87,0.993183277469114
145.637274596775,0.373311362607902,19.20753,17.87736,17.30583,17.08623,16.96132,1237648721752555500,299596604950734850,STAR,F9,sdss,266,51630,390,183.073427304136,-0.21570933723683,20.49027,19.02907,18.47345,18.28602,18.1608,1237648673968619800,364839701401593860,STAR,F9,sdss,324,51666,175,0.9940756433398825
213.923347159786,-1.18719995258487,21.65405,19.01292,17.59376,16.89381,16.49411,1237655693547274500,341160893008078850,STAR,M0,sdss,303,51615,48,183.788831274754,-0.211050988743713,21.7818,19.57181,18.21712,17.60673,17.26648,1237648673968947500,364821834337642500,STAR,K7,sdss,324,51666,110,0.9140128705671401
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,183.127428103788,-1.17468763774136,19.83238,18.56732,18.0679,17.82656,17.74151,1237648702966333700,364826507262060540,STAR,G0,sdss,324,51666,127,0.9453891829874117
179.116749517998,1.03684407454017,21.82329,19.33489,17.89171,16.59424,15.97889,1237674651538948e3,320972490417399800,STAR,M3,sdss,285,51930,331,183.207594630049,-1.19629347579933,22.31908,19.79688,18.36388,17.128,16.4534,1237648702966399e3,364814412634155e3,STAR,M3,sdss,324,51666,83,0.9988852438100271
177.895876719101,-0.948862726619474,21.84246,19.57861,18.3961,17.87057,17.78709,1237648720156098800,3.1981497976936243e+17,STAR,K7,sdss,284,51943,216,183.28229390582,-1.12680856884927,21.64209,19.22772,18.04638,17.54721,17.29744,1237648702966399e3,364816336779503600,STAR,K7,sdss,324,51666,90,0.8476819154835135
177.895876719101,-0.948862726619474,21.84246,19.57861,18.3961,17.87057,17.78709,1237648720156098800,3.1981497976936243e+17,STAR,K7,sdss,284,51943,216,183.306743703907,-1.21420358339421,21.69734,19.31411,18.16802,17.6475,17.35782,1237648702966399e3,364814137756248060,STAR,K7,sdss,324,51666,82,0.9670935673021014
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,183.319592235116,-1.16612233100062,20.14658,18.91115,18.42017,18.22268,18.19052,1237648702966464800,364813862878341100,STAR,F9,sdss,324,51666,81,0.9929376000219651
186.012060591677,-2.78750875087426,21.86746,18.95077,17.40391,15.9811,15.16577,1237650761319448800,376124269601515500,STAR,M4,sdss,334,51993,268,183.573227658901,-1.08233439028759,21.64766,19.30349,17.79343,16.46885,15.7269,1237648702966530300,364803692395784200,STAR,M3,sdss,324,51666,44,0.9909879925759486
179.116749517998,1.03684407454017,21.82329,19.33489,17.89171,16.59424,15.97889,1237674651538948e3,320972490417399800,STAR,M3,sdss,285,51930,331,183.612799942622,-1.24192555941209,23.20551,19.86484,18.43119,17.13482,16.4612,1237648702966530300,364804242151598100,STAR,M3,sdss,324,51666,46,0.997355335366104
