ra,dec,u,g,r,i,z,objid,specobjid,class,subclass,survey,plate,mjd,fiberid,ra1,dec1,u1,g1,r1,i1,z1,objid1,specobjid1,class1,subclass1,survey1,plate1,mjd1,fiberid1,cor
145.292820879058,0.376326323154304,19.31302,18.13527,17.67289,17.49996,17.44187,1237648721752424700,299584510322829300,STAR,F2,sdss,266,51630,346,194.346494735083,-3.36649207698664,17.24003,16.16553,15.77652,15.62084,15.55313,1237650369414496300,380625390311335940,STAR,F5,sdss,338,51694,259,0.9935311258861328
145.292820879058,0.376326323154304,19.31302,18.13527,17.67289,17.49996,17.44187,1237648721752424700,299584510322829300,STAR,F2,sdss,266,51630,346,195.092619280667,-3.30254665218629,17.65388,16.7156,16.3129,16.15459,16.09125,1237650369414824e3,381762835056715800,STAR,F5,sdss,339,51692,301,0.9870964866285225
258.731773846935,59.7740444929863,21.22973,19.66933,18.80432,18.26564,17.94577,1237651213360497e3,397592504146356200,STAR,M1,sdss,353,51703,545,195.157842509555,-3.50172565093497,19.48642,18.30189,17.53435,17.09407,16.84945,1237650369414824e3,381758986766018560,STAR,L0,sdss,339,51692,287,0.4364097138894963
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,195.787969171814,-3.35780531349882,17.51027,16.57301,16.29058,16.1942,16.17402,1237650369415086e3,381738920678811650,STAR,A0,sdss,339,51692,214,0.9819491156720984
198.701397641934,-0.412739006346433,19.09171,16.93303,16.00233,15.63252,15.43036,1237648704046891e3,332182012385323e3,STAR,K5,sdss,295,51985,151,195.804154277529,-3.39599264867973,20.39231,18.53923,17.68848,17.34972,17.28302,1237650369415086e3,381739470434625540,STAR,K3,sdss,339,51692,216,0.7315498434809727
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,195.836825276849,-3.41581201111914,18.95636,17.71028,17.19654,16.992,16.89747,1237650369415151600,381738370922997760,STAR,G2,sdss,339,51692,212,0.9731149460877091
179.134074718363,-0.565218035971066,20.02479,19.02817,18.92691,18.91533,18.97368,1237648720693494300,319761378577508350,STAR,A0,sdss,284,51943,21,196.368113664867,-3.46584789733959,16.74716,15.62161,15.58126,15.59739,15.65258,1237650369415348200,381694115579979800,STAR,A0,sdss,339,51692,51,0.996486364245982
145.730402906295,1.16495212870021,18.32052,17.01957,16.47373,16.26664,16.14915,1237651752921596e3,299589458125154300,STAR,G2,sdss,266,51630,364,196.383181963986,-3.46938591929898,17.64952,16.39911,15.95128,15.76555,15.69519,1237650369415348200,381696589481142300,STAR,G2,sdss,339,51692,60,0.9676616897501881
179.134074718363,-0.565218035971066,20.02479,19.02817,18.92691,18.91533,18.97368,1237648720693494300,319761378577508350,STAR,A0,sdss,284,51943,21,196.733185574108,-3.30160424129682,16.60613,15.4394,15.38155,15.3961,15.43983,1237650369415479300,381707859475327e3,STAR,A0,sdss,339,51692,101,0.9966428248185868
178.249313902869,0.984209914722446,18.59269,17.69916,17.41509,17.32229,17.29084,1237671126978986e3,3.1990266582167757e+17,STAR,F5,sdss,284,51943,535,197.014164111468,-3.37866565837086,16.50209,15.37694,15.14919,15.06227,15.02695,1237650369415610400,381683670219515900,STAR,F5,sdss,339,51692,13,0.9980202262678036
145.84174073867,-0.27775417839393,18.4085,17.16402,16.95854,16.87708,16.88028,1237650795682988e3,299543553514694660,STAR,A0,sdss,266,51630,197,196.90340267899,-3.3740610476701,20.09239,18.97153,18.83491,18.81952,18.80653,1237650369415610400,381684219975329800,STAR,A0,sdss,339,51692,15,0.9971565279116049
146.176134062155,-0.982427731732799,18.88086,17.73562,17.57361,17.55848,17.5657,1237648720142205e3,299511942555396100,STAR,A0,sdss,266,51630,82,196.985849068692,-3.3717423332632,18.98058,17.96974,17.86453,17.86893,17.88193,1237650369415610600,381682570707888100,STAR,A0,sdss,339,51692,9,0.9970868204454735
183.5130042434,0.0978843707802476,20.92546,19.05011,18.29729,17.98514,17.76786,1237648704577142800,364929586477164540,STAR,K1,sdss,324,51666,502,197.233720124635,-3.41530207997644,19.62994,17.99911,17.33219,17.08673,16.95815,1237650369415741400,381684494853236740,STAR,F9,sdss,339,51692,16,0.6791396126354777
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,193.468098599852,-2.91241805222107,20.56224,19.46202,19.19438,19.08298,19.1029,1237650369950974e3,380636935183427600,STAR,F5,sdss,338,51694,301,0.9741783646620015
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,194.291325073661,-3.04102178936928,17.28427,15.95845,15.497,15.32821,15.26884,1237650369951301600,3.8062786421249843e+17,STAR,F9,sdss,338,51694,268,0.9741115601526306
145.292820879058,0.376326323154304,19.31302,18.13527,17.67289,17.49996,17.44187,1237648721752424700,299584510322829300,STAR,F2,sdss,266,51630,346,194.360562306315,-2.98304696624512,17.42907,16.30136,15.90083,15.745,15.71428,1237650369951367200,380626489822963700,STAR,G2,sdss,338,51694,263,0.9976452737959073
145.84174073867,-0.27775417839393,18.4085,17.16402,16.95854,16.87708,16.88028,1237650795682988e3,299543553514694660,STAR,A0,sdss,266,51630,197,195.22998336101,-2.97463673481507,16.42655,15.16318,15.0416,15.01775,15.01229,1237650369951694800,381764484324157440,STAR,A0,sdss,339,51692,307,0.9969080183640086
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,195.691171126191,-2.9941260751212,18.26674,17.0807,16.57715,16.36178,16.25073,1237650369951957e3,381755413353228300,STAR,F5,sdss,339,51692,274,0.9315341158902831
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,196.301633234712,-2.91513583640528,17.40676,16.51414,16.18725,16.06294,16.02596,1237650369952219100,3.8172132849276723e+17,STAR,F5,sdss,339,51692,150,0.9979906264305782
145.292820879058,0.376326323154304,19.31302,18.13527,17.67289,17.49996,17.44187,1237648721752424700,299584510322829300,STAR,F2,sdss,266,51630,346,196.312952436217,-3.06981078045236,17.75813,16.66011,16.22682,16.08729,16.04721,1237650369952219100,381729025074161660,STAR,G0,sdss,339,51692,178,0.9944413338459096
193.614515711804,1.0310998878806,19.7074,19.34164,19.61309,19.84981,20.20721,1237648705655275800,329977761483483140,STAR,WD,sdss,293,51689,324,196.731076627879,-2.93398968930294,19.13432,18.84425,19.15682,19.41096,19.53312,1237650369952350500,381711707766024200,STAR,WD,sdss,339,51692,115,0.9995145099446471
145.674201774357,-0.380765117132352,17.65463,16.52501,16.14332,15.99839,15.95519,1237650795682922800,299553723997251600,STAR,G0,sdss,266,51630,234,196.860753559847,-3.06720721898466,17.95893,16.81948,16.43953,16.3105,16.26979,1237650369952415700,381712532399745e3,STAR,G0,sdss,339,51692,118,0.9772448459990611
183.9331037748,0.488537871528653,21.69904,19.1529,17.76709,17.02522,16.62527,1237648705114210300,364951576709720060,STAR,M0,sdss,324,51666,582,197.271764491842,-2.90670391461721,21.44304,18.71101,17.40666,16.71421,16.32926,1237650369952612600,381688343143933950,STAR,M0,sdss,339,51692,30,0.997515244239147
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,195.490794634582,-2.66170855328328,19.47002,18.53491,18.26087,18.18787,18.11076,1237650370488697e3,381789773091596300,STAR,A0,sdss,339,51692,399,0.9813618374406925
356.708151347569,-0.342218020934601,18.06031,17.84218,17.56211,16.93953,16.50837,1237663783659110400,769030910405273600,STAR,M2,sdss,683,52524,150,193.20848743651499,-2.10229906722392,19.35275,19.19295,18.92186,18.30314,17.8373,1237650371024585e3,3.8064848005551923e+17,STAR,M2,sdss,338,51694,343,0.9758532765323803
