ra,dec,u,g,r,i,z,objid,specobjid,class,subclass,survey,plate,mjd,fiberid,ra1,dec1,u1,g1,r1,i1,z1,objid1,specobjid1,class1,subclass1,survey1,plate1,mjd1,fiberid1,cor
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,159.393467158092,6.09983942895786,20.51139,19.25059,18.95615,18.83821,18.78368,1237658298460668200,1125980490411567100,STAR,A0,sdss,1000,52643,293,0.978069231231097
145.823195215599,-1.17253153226376,17.90064,16.65559,16.80802,16.93402,17.00518,1237650794609246200,299527885473998850,STAR,A0,sdss,266,51630,140,155.593222592086,6.17368935656546,17.60858,16.37061,16.55706,16.71727,16.78082,1237658298995900400,1122532148595681300,STAR,A0,sdss,997,52734,36,0.9986775148079706
145.674201774357,-0.380765117132352,17.65463,16.52501,16.14332,15.99839,15.95519,1237650795682922800,299553723997251600,STAR,G0,sdss,266,51630,234,153.170252659252,6.39858926844075,19.15825,17.99386,17.61414,17.46979,17.41005,1237658299531722800,1121558804366911500,STAR,G2,sdss,996,52641,591,0.9983347515430427
145.284138787487,0.706298162339648,20.36442,18.21354,17.38881,17.11562,17.32,1237648722289295600,299583960567015400,STAR,K1,sdss,266,51630,344,153.20008652682,6.49274801919566,18.38169,16.53175,15.79541,15.54692,15.42869,1237658299531722800,1121561003390167e3,STAR,K1,sdss,996,52641,599,0.8922192525505475
145.84174073867,-0.27775417839393,18.4085,17.16402,16.95854,16.87708,16.88028,1237650795682988e3,299543553514694660,STAR,A0,sdss,266,51630,197,153.202700967567,6.46139333431163,16.99137,15.80774,15.67637,15.6445,15.64228,1237658299531722800,1121560453634353200,STAR,A0,sdss,996,52641,597,0.9984387953855521
146.176134062155,-0.982427731732799,18.88086,17.73562,17.57361,17.55848,17.5657,1237648720142205e3,299511942555396100,STAR,A0,sdss,266,51630,82,153.691159412357,6.58136722980335,19.73065,19.33045,19.24343,19.28779,19.48228,1237658299531985e3,1121568974849468400,STAR,WD,sdss,996,52641,628,0.9964312708128108
145.823195215599,-1.17253153226376,17.90064,16.65559,16.80802,16.93402,17.00518,1237650794609246200,299527885473998850,STAR,A0,sdss,266,51630,140,153.722227850422,6.50225736041615,19.59078,19.2811,19.52769,19.72321,20.12728,1237658299531985200,1121567600459933700,STAR,WD,sdss,996,52641,623,0.99062057686218985
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,159.053104717653,6.84971270389567,17.97197,17.03971,16.75312,16.64798,16.63297,1237658299534278700,1125996708208076800,STAR,F5,sdss,1000,52643,352,0.9911628225241915
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,159.427128439488,6.88448373390473,19.34326,18.38693,18.0959,17.97746,17.92953,1237658299534475500,1126006328934819800,STAR,F5,sdss,1000,52643,387,0.992705311643527
145.575898289079,-0.42207398057896,16.94769,15.68956,15.6881,15.73242,15.80791,1237648720678813700,299553449119344640,STAR,A0,sdss,266,51630,233,144.908724159038,6.37775260825702,19.74282,18.52802,18.53781,18.63152,18.68449,1237658300064989400,1118120357786576900,STAR,A0,sdss,993,52710,370,0.9965730913771838
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,153.618461667613,7.03605458484757,17.82426,16.85225,16.56244,16.45816,16.4298,1237658300068790300,1121563477291329500,STAR,F5,sdss,996,52641,608,0.9934535468653449
177.860444998808,0.270533671903941,17.94062,16.91187,16.85751,16.82972,16.91412,1237671126978658300,319864457792612350,STAR,A0,sdss,284,51943,396,136.96444030928,6.07182772492616,17.84761,16.70045,16.65782,16.64256,16.67016,1237658300598452200,1342239034532980700,STAR,A0,sdss,1192,52649,605,0.9966545752931601
194.140141387946,-0.0790706287318496,19.88345,18.70391,18.8821,19.06963,19.19809,1237648721236918500,329942302233487360,STAR,A0,sdss,293,51689,195,153.143246882555,7.34301045020783,18.53956,18.18243,18.43136,18.66573,18.92354,1237658300605464600,1121563752169236500,STAR,WD,sdss,996,52641,609,0.9912814725813444
177.333017246067,-0.0315196943774238,19.00007,17.85398,17.73044,17.67888,17.68869,1237671127515332600,318801230316988400,STAR,A0,sdss,283,51959,624,153.068913795199,7.23176780716026,19.82273,18.834,18.74452,18.72666,18.75426,1237658300605464600,1121566775826212900,STAR,A0,sdss,996,52641,620,0.9988431603363678
177.895876719101,-0.948862726619474,21.84246,19.57861,18.3961,17.87057,17.78709,1237648720156098800,3.1981497976936243e+17,STAR,K7,sdss,284,51943,216,156.326452139909,7.49391947898334,21.84995,19.56527,18.42047,17.96813,17.95026,1237658300606841e3,1123794937968617500,STAR,K7,sdss,998,52750,534,0.9525694265806846
146.176134062155,-0.982427731732799,18.88086,17.73562,17.57361,17.55848,17.5657,1237648720142205e3,299511942555396100,STAR,A0,sdss,266,51630,82,159.728724580276,7.65397614870747,20.59508,19.55029,19.41649,19.4117,19.38292,1237658300608348400,1126001656010401800,STAR,A0,sdss,1000,52643,370,0.9978998292482321
