ra,dec,u,g,r,i,z,objid,specobjid,class,subclass,survey,plate,mjd,fiberid,ra1,dec1,u1,g1,r1,i1,z1,objid1,specobjid1,class1,subclass1,survey1,plate1,mjd1,fiberid1,cor,cor_logit
215.643660382536,-0.218460252284082,18.0052,17.09624,16.68725,16.44162,16.25803,1237648704054296800,342289816471234560,STAR,F2,sdss,304,51609,59,223.587069336796,-1.24433790639191,19.1192,18.16836,17.81605,17.59362,17.62125,1237648702984093700,3731316487298851e3,STAR,F5,segue2,3314,54970,306,0.9923191745289793,0.7175352866590328
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,185.493977661209,-0.737971001998621,20.37188,19.28206,18.81313,18.60448,18.48254,1237648703504253200,2891378375534864400,STAR,F2,segue1,2568,54153,245,0.9637436752888981,-0.20865158673266013
166.635168076666,-0.878224883123377,21.0641,18.59718,17.53441,17.13069,16.91208,1237648720151118e3,313071399356885e3,STAR,K5,sdss,278,51900,259,185.58742955435,-0.413693404376423,21.92366,19.97807,18.96254,18.61747,18.35996,1237648704041189400,2891375626755795e3,STAR,K3,segue1,2568,54153,235,0.8524249846729266,-1.0731923769350395
145.292820879058,0.376326323154304,19.31302,18.13527,17.67289,17.49996,17.44187,1237648721752424700,299584510322829300,STAR,F2,sdss,266,51630,346,234.488864922746,-0.328886448547473,19.35968,18.35975,17.97199,17.81201,17.73626,1237648704062554400,4512755075676872700,STAR,F3/F5V (30743),boss,4008,55356,539,0.9863083557916273,0.37393737794190623
177.249154562084,1.08293152080683,17.26816,16.25302,15.9382,15.82679,15.78908,1237671128052596700,319845491217033200,STAR,F5,sdss,284,51943,327,95.579609413189,0.167732826084559,18.38507,16.90652,16.67416,16.56348,16.45925,1237646381006258400,1417530846755186700,STAR,A0,sdss,1259,52931,83,0.9861224216844269,0.36590601750159435
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,95.8307350773786,0.0609108472142576,17.45745,15.96007,15.69033,15.578430000000001,15.53888,1237646381006324700,1417520951150536700,STAR,A0,sdss,1259,52931,47,0.9879762330448386,0.4512449791451322
183.746405503746,0.120132682692904,21.46047,19.08,17.85403,17.36013,17.08994,1237648704577208600,364945529395767300,STAR,K5,sdss,324,51666,560,109.271895760015,-0.771229097652994,21.57119,19.28558,18.15619,17.75357,17.49788,1237646795984865e3,8388065469429424e3,STAR,K5Ve (118100),boss,7450,56722,404,0.9476372232233193,-0.43087601835694617
205.910567486995,-0.344157574054239,20.2399,18.80597,18.14108,17.86193,18.01416,1237648704050037e3,336664166267906050,STAR,F9,sdss,299,51671,73,110.25178906153,-0.408551609825801,18.7352,17.14148,16.50139,16.25005,16.12102,1237646796522128600,8388026436766638e3,STAR,G4V (32923),boss,7450,56722,262,0.9661251136450167,-0.16776146457408236
145.566789031631,0.995268127605047,18.91744,17.79122,17.32336,17.11779,17.05456,1237650797293469700,299593306415851500,STAR,F5,sdss,266,51630,378,194.744103830147,-0.672130073611367,17.42283,16.29801,15.85791,15.67064,15.58344,1237648703508316200,329929382971861e3,STAR,F2,sdss,293,51689,148,0.9968619698059826,1.2481813589910324
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,122.981945158838,0.963856929671034,17.63113,16.55926,16.24861,16.14775,16.13221,1237646798138311e3,2338584330990807e3,STAR,F5,segue1,2077,53846,328,0.9981276118066805,1.5538964150968848
183.79821944835,0.170505458206148,22.39767,19.41875,18.05591,17.4611,17.09486,1237648704577273900,364944979639953400,STAR,K7,sdss,324,51666,558,155.839123760741,-0.959681456684483,22.00746,19.25332,17.96785,17.41692,17.09507,1237648720146399500,306281365987420160,STAR,K7,sdss,272,51941,133,0.9693197447138376,-0.10822958597265635
183.711149416196,1.04054643930344,21.57433,19.40742,18.26204,17.8296,17.55237,1237648705650950400,364949377686464500,STAR,K5,sdss,324,51666,574,109.592221900785,-0.253292822697561,20.3097,17.78641,16.68782,16.30987,16.04903,1237646796521867300,8388063270406169e3,STAR,K5Ve (118100),boss,7450,56722,396,0.906732371452841,-0.7847762001643238
183.216044895339,0.200613869852646,20.93703,19.14316,18.37123,18.02899,17.81776,1237648704577011700,364927937209722900,STAR,K3,sdss,324,51666,496,109.313617488529,-0.00781258035681531,18.76434,17.14091,16.40863,16.09053,15.90668,1237646797058605800,838807481527826e4,STAR,K0IV (191026),boss,7450,56722,438,0.9214145645843359,-0.6789571073262691
145.566789031631,0.995268127605047,18.91744,17.79122,17.32336,17.11779,17.05456,1237650797293469700,299593306415851500,STAR,F5,sdss,266,51630,378,184.990399408826,-0.88913114228461,19.61597,18.63822,18.25447,18.04915,17.98851,1237648720159179e3,2891392394308118500,STAR,F5,segue1,2568,54153,296,0.9817341914333642,0.20213217797259006
194.513124818694,-0.329788313947773,17.57141,16.52481,16.18738,16.06454,16.02996,1237648704045056e3,329934330774186e3,STAR,F5,sdss,293,51689,166,197.251437301985,0.382719873582157,17.67794,16.80319,16.56174,16.46761,16.45652,1237648674511716400,8394876669169476e3,STAR,F0IV (81937),boss,7456,56727,607,0.9919228833293604,0.6876701295047599
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,189.052460122754,-0.775651491857806,19.26929,18.40985,18.06867,17.95838,17.85518,1237648703505826e3,4253856643698106400,STAR,F3/F5V (30743),boss,3778,55213,752,0.9929727230148496,0.7703129822140108
205.910567486995,-0.344157574054239,20.2399,18.80597,18.14108,17.86193,18.01416,1237648704050037e3,336664166267906050,STAR,F9,sdss,299,51671,73,56.2732548442546,0.871282912945971,19.59882,18.27969,17.68823,17.46187,17.32273,1237645943978852600,3553512259961594e3,STAR,G2,segue2,3156,54792,626,0.9014409802635132,-0.8190493097566172
178.893313482473,-0.600517509240428,18.29249,17.03704,16.80255,16.7162,16.69708,1237648720693362700,319786667344947200,STAR,F5,sdss,284,51943,113,194.242987271303,0.0558236934351785,20.05733,19.15139,18.91998,18.83745,18.85302,1237648704581796e3,330015419756734460,STAR,A0,sdss,293,51689,461,0.9910987892715719,0.6299784027438251
183.304257754331,0.324226806710038,19.10226,18.09571,17.71178,17.53036,17.49732,1237648721769070600,364934259401582600,STAR,F2,sdss,324,51666,519,122.902174987057,-0.997403366736578,20.75663,19.67783,19.37777,19.20151,19.06452,1237648720131982e3,1293728037698824200,STAR,F5,sdss,1149,53003,251,0.9940044079860179,0.8645039190857883
145.674201774357,-0.380765117132352,17.65463,16.52501,16.14332,15.99839,15.95519,1237650795682922800,299553723997251600,STAR,G0,sdss,266,51630,234,123.418891402542,-0.944527898457551,19.35778,18.1999,17.82772,17.69044,17.63989,1237648720132244e3,1293695327227897900,STAR,F5,sdss,1149,53003,132,0.9824781380705084,0.22694166749193243
72.714315764873,0.223617245655184,20.60749,19.57721,19.51953,19.21374,19.22758,1237646587169669600,897493721447163900,STAR,A0,sdss,797,52263,551,177.987269438138,-0.12373346298224,18.66634,18.12247,18.1401,17.83794,17.3283,1237648721229840400,319876552420517900,STAR,WD,sdss,284,51943,440,0.9661492711114122,-0.16733236409373164
183.216044895339,0.200613869852646,20.93703,19.14316,18.37123,18.02899,17.81776,1237648704577011700,364927937209722900,STAR,K3,sdss,324,51666,496,223.506216797573,-0.842789097098564,19.68181,18.23411,17.56192,17.28297,17.14368,1237648720176021800,3731304392670945300,STAR,K3,segue2,3314,54970,262,0.5633232545305343,-1.8150119980125277
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,124.779255415171,-0.53365483110332,20.72786,19.64741,19.36387,19.23671,19.2944,1237648720669704700,1293665090658134e3,STAR,F5,sdss,1149,53003,22,0.9915973951962672,0.664212783151932
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,182.065944401876,-0.572259966742486,19.12785,17.68651,17.15496,16.97876,16.90569,1237648720694739200,3722299391634153500,STAR,F9,segue2,3306,54922,270,0.9766472960314027,0.0553385464835556
178.234273850894,-1.05582204914454,19.68501,17.8984,17.24895,17.03903,16.91506,1237674648854200600,3.1978062003099443e+17,STAR,K1,sdss,284,51943,91,161.940211961823,-0.942758183189321,19.99882,18.50524,17.92062,17.71508,17.60893,1237648720149086500,2712344073506679e3,STAR,F9,segue1,2409,54210,186,0.8076588271274278,-1.2443154769909068
183.216044895339,0.200613869852646,20.93703,19.14316,18.37123,18.02899,17.81776,1237648704577011700,364927937209722900,STAR,K3,sdss,324,51666,496,197.096097133847,0.617507996701009,21.177,19.50182,18.76686,18.48624,18.34739,1237648705119977500,3294489307888249e3,STAR,K3,segue1,2926,54625,386,0.6600577973084842,-1.631436514695441
249.585833724251,-0.407815842000941,19.68027,18.32572,17.69163,17.38965,17.1619,1237648704069174e3,391832437069473800,STAR,F9,sdss,348,51671,70,221.44007892867,0.864976533651539,18.69974,17.29552,16.69033,16.39878,16.23446,1237648705667465200,3303493758380697600,STAR,F5,segue1,2934,54626,376,0.9705907639315635,-0.0828294867670715
183.349068660109,0.389098663824637,20.63612,18.58137,17.75211,17.44387,17.24193,1237648721769070600,364931510622513150,STAR,K3,sdss,324,51666,509,173.448952444048,-0.899558895399807,19.91791,18.03527,17.2586,16.96631,16.78567,1237648720154132700,3239285576125409300,STAR,K3,segue1,2877,54523,260,0.9095894521222165,-0.7654939483661096
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,125.725872271969,-0.783983796532927,19.43321,18.32394,18.03444,17.93043,17.96545,1237646795992072200,1299368533691492400,STAR,F5,sdss,1154,53083,291,0.992036724418854,0.6960972803332404
145.566789031631,0.995268127605047,18.91744,17.79122,17.32336,17.11779,17.05456,1237650797293469700,299593306415851500,STAR,F5,sdss,266,51630,378,183.476933923556,0.204540065808921,19.49442,18.51838,18.12218,17.94275,17.87964,1237648674505687e3,3722357390872518700,STAR,F5,segue2,3306,54922,481,0.9801726551219169,0.15316034105663856
261.935715747804,58.9042429291009,18.99542,19.22321,19.34931,19.15008,19.03445,1237656529456202e3,412219862354520060,STAR,WD,sdss,366,52017,511,185.915049622712,-0.942002590728742,18.39146,17.89334,18.04644,17.9015,17.55875,1237648720159572e3,4269564816551551e3,STAR,WDhotter,boss,3792,55212,554,0.9910824627649549,0.6288899751260489
183.592097928508,0.405497759141423,20.9404,18.98152,18.13074,17.75833,17.55587,1237648721769202e3,364940856471349250,STAR,K3,sdss,324,51666,543,182.409244319305,-0.505682953710179,19.50371,17.77337,16.96607,16.61131,16.42418,1237648720694935600,3722287846762062e3,STAR,K1,segue2,3306,54922,228,0.744205253937484,-1.4340299139528336
183.539390169297,0.827136164706498,22.53983,19.91033,18.43634,17.56883,17.0485,1237648722306007300,364949927442278400,STAR,M1,sdss,324,51666,576,109.007683034975,-0.291451050132635,22.82391,19.42693,17.99195,17.18059,16.75261,1237646796521605400,8388088009417794e3,STAR,K5 (G_19-24),boss,7450,56722,486,0.9300792083688789,-0.6072179175057552
198.701397641934,-0.412739006346433,19.09171,16.93303,16.00233,15.63252,15.43036,1237648704046891e3,332182012385323e3,STAR,K5,sdss,295,51985,151,111.14201032499,-0.335136996287875,20.96944,18.96198,18.11338,17.77023,17.59502,1237646796522521900,8387976958743388e3,STAR,K3V (32147),boss,7450,56722,82,0.7910095726853744,-1.2988760099642682
183.28571742291,0.948915505839439,21.54108,19.40446,18.26452,17.75682,17.44246,1237648705650753800,364938932326000640,STAR,K7,sdss,324,51666,536,111.194863138036,-0.313045920536505,21.1015,18.55304,17.44674,17.02353,16.78711,1237646796522588e3,8387973110452691e3,STAR,K5Ve (118100),boss,7450,56722,68,0.9546079943903929,-0.34428908242122
183.711149416196,1.04054643930344,21.57433,19.40742,18.26204,17.8296,17.55237,1237648705650950400,364949377686464500,STAR,K5,sdss,324,51666,574,111.366653601172,-0.342890868070877,21.45103,17.99262,16.85174,16.47285,16.38288,1237646796522652e3,8387962665092227e3,STAR,K5Ve (118100),boss,7450,56722,30,0.8862827295995452,-0.9083745879789478
146.028619869579,0.556983475894607,21.97586,19.37706,18.28957,17.81773,17.61061,1237650796756795600,299618870061197300,STAR,K5,sdss,266,51630,471,118.58659837192,-0.280587197961375,20.3045,17.9644,16.88861,16.49915,16.2707,1237646796525798100,8389216383511011e3,STAR,K5Ve (118100),boss,7451,56739,495,0.5352596138160232,-1.862553278915244
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,219.561766324215,0.547663882042828,19.06822,17.80601,17.33803,17.16516,17.09147,1.2376487051298079e+18,345778018016323600,STAR,F9,sdss,307,51663,461,0.9834270404138621,0.2601468871056576
178.893313482473,-0.600517509240428,18.29249,17.03704,16.80255,16.7162,16.69708,1237648720693362700,319786667344947200,STAR,F5,sdss,284,51943,113,194.822108388699,1.04455749239978,20.44958,19.30309,19.08626,19.00662,18.89994,12376487056558e5,4509341641308348400,STAR,F0Ib (36673),boss,4005,55325,409,0.9839148997400972,0.27796004895985255
194.513124818694,-0.329788313947773,17.57141,16.52481,16.18738,16.06454,16.02996,1237648704045056e3,329934330774186e3,STAR,F5,sdss,293,51689,166,174.566962712629,-0.588317828713954,19.02533,18.13636,17.8949,17.82123,17.83702,1237648720691462100,4250455304376918e3,STAR,A2II (39866),boss,3775,55207,666,0.9846353583076128,0.3052711872803479
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,159.860041068546,-1.02156610691403,18.95628,17.73277,17.2434,17.04211,16.96518,1237648720148169e3,308532340697622500,STAR,F9,sdss,274,51913,130,0.9546082925691176,-0.3442851079131416
194.513124818694,-0.329788313947773,17.57141,16.52481,16.18738,16.06454,16.02996,1237648704045056e3,329934330774186e3,STAR,F5,sdss,293,51689,166,160.774333713091,-0.596684751439956,20.05124,19.19892,18.93881,18.85424,18.83594,1237648720685433e3,2892523243376240600,STAR,A0,segue1,2569,54234,314,0.9815698674762237,0.19678736256326967
146.176134062155,-0.982427731732799,18.88086,17.73562,17.57361,17.55848,17.5657,1237648720142205e3,299511942555396100,STAR,A0,sdss,266,51630,82,128.696058435788,-0.0445277294794763,17.95535,16.80494,16.69509,16.7017,16.72815,1237648721208279e3,8390353553512702e3,STAR,A8V (155514),boss,7452,56745,536,0.9973521169328791,1.3487513035992678
177.895876719101,-0.948862726619474,21.84246,19.57861,18.3961,17.87057,17.78709,1237648720156098800,3.1981497976936243e+17,STAR,K7,sdss,284,51943,216,111.355521640967,-0.0219246383776822,22.12399,19.43256,18.27373,17.83377,17.63654,1237646797059522600,8387962939970134e3,STAR,K5Ve (118100),boss,7450,56722,31,0.7436970956509151,-1.4353757321857192
205.910567486995,-0.344157574054239,20.2399,18.80597,18.14108,17.86193,18.01416,1237648704050037e3,336664166267906050,STAR,F9,sdss,299,51671,73,111.39254743353101,0.0543725085231056,18.88923,17.26869,16.63666,16.41261,16.36408,1237646797059523e3,838796513899339e4,STAR,K0V (10780),boss,7450,56722,39,0.9537790549367149,-0.3552408527311674
177.860444998808,0.270533671903941,17.94062,16.91187,16.85751,16.82972,16.91412,1237671126978658300,319864457792612350,STAR,A0,sdss,284,51943,396,183.784375268184,0.754855980505307,19.64765,19.23142,19.27387,19.28404,19.14247,1237648722306138400,4329354886342746e3,STAR,WDcooler,boss,3845,55323,981,0.986174893975396,0.3681616654272153
145.84174073867,-0.27775417839393,18.4085,17.16402,16.95854,16.87708,16.88028,1237650795682988e3,299543553514694660,STAR,A0,sdss,266,51630,197,60.0134159738838,-5.77577045643127,20.50665,19.43057,19.25124,19.20951,19.11087,1237649962459529500,2331891601950927e3,STAR,A0,segue1,2071,53741,556,0.9971688270602338,1.3091203739021895
205.910567486995,-0.344157574054239,20.2399,18.80597,18.14108,17.86193,18.01416,1237648704050037e3,336664166267906050,STAR,F9,sdss,299,51671,73,184.4774114522,-0.427116320235295,19.08138,17.70882,17.11579,16.86929,16.71732,1237648720695853e3,3722234795326021600,STAR,F9,segue2,3306,54922,35,0.965651135147038,-0.17612029453413636
145.823195215599,-1.17253153226376,17.90064,16.65559,16.80802,16.93402,17.00518,1237650794609246200,299527885473998850,STAR,A0,sdss,266,51630,140,222.393764484461,-0.535481948953087,16.46521,15.26301,15.48162,15.63769,15.75799,1237648720712433700,3275281664854485e3,STAR,A0,segue1,2909,54653,141,0.9966810841634357,1.2149891308624474
196.092508399636,0.883856485672309,17.62233,16.67135,16.34919,16.20793,16.17142,1237648705656389600,331116310756878340,STAR,F5,sdss,294,51986,370,234.952117619448,-0.426948353955049,20.42825,19.41541,19.16008,19.02593,19.04633,1237648720717939e3,1042695229527844900,STAR,B6,sdss,926,52413,407,0.9814781224253186,0.1938237563093054
145.637274596775,0.373311362607902,19.20753,17.87736,17.30583,17.08623,16.96132,1237648721752555500,299596604950734850,STAR,F9,sdss,266,51630,390,173.835561229157,-0.0989778456212202,19.77867,18.45936,17.90623,17.69388,17.59057,1237648721228005600,3239262761259133e3,STAR,F9,segue1,2877,54523,177,0.9455660050610205,-0.45444376299780487
145.637274596775,0.373311362607902,19.20753,17.87736,17.30583,17.08623,16.96132,1237648721752555500,299596604950734850,STAR,F9,sdss,266,51630,390,174.694479956331,-0.206342237571371,19.87239,18.53224,17.98127,17.77054,17.69264,1237648721228398800,3239244894195181600,STAR,F9,segue1,2877,54523,112,0.9849399826517473,0.31720319738840197
145.292820879058,0.376326323154304,19.31302,18.13527,17.67289,17.49996,17.44187,1237648721752424700,299584510322829300,STAR,F2,sdss,266,51630,346,121.666861735232,0.790953225875542,20.66824,19.56506,19.15685,19.00586,18.93024,1237648722278941200,5342427317535744e3,STAR,F8V (30562),boss,4745,55892,117,0.9824799583025684,0.2270036408228237
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,127.161985315155,-0.129626802851783,19.35547,18.21845,17.90439,17.80949,17.77018,1237648721207624e3,1299452646331017200,STAR,F5,sdss,1154,53083,597,0.9935260109134252,0.8189684766788348
146.176134062155,-0.982427731732799,18.88086,17.73562,17.57361,17.55848,17.5657,1237648720142205e3,299511942555396100,STAR,A0,sdss,266,51630,82,212.159766586588,-0.0298067978099949,20.13278,18.96048,18.87197,18.88203,19.04239,1237648721244783e3,340157314994563100,STAR,A0,sdss,302,51688,493,0.9981655713431601,1.5660186297336491
193.323603670296,-0.331879564462377,18.7499,16.7482,15.96372,15.68902,15.54343,1237648704044531700,329976387093948400,STAR,K3,sdss,293,51689,319,10.2837547662845,14.2925072989095,18.16879,16.69621,16.01113,15.74039,15.58555,1237649918963744800,3527454933844599e3,STAR,F9,segue2,3133,54789,38,0.8757329315609985,-0.9641505921013518
145.292820879058,0.376326323154304,19.31302,18.13527,17.67289,17.49996,17.44187,1237648721752424700,299584510322829300,STAR,F2,sdss,266,51630,346,8.79577226509355,14.691894530849,17.04731,15.79801,15.41468,15.27155,15.23032,1237649919499960300,3527490118216687600,STAR,F5,segue2,3133,54789,166,0.9966064818484639,1.2018228257550283
145.292820879058,0.376326323154304,19.31302,18.13527,17.67289,17.49996,17.44187,1237648721752424700,299584510322829300,STAR,F2,sdss,266,51630,346,184.485075721073,0.502110241674537,18.68197,17.65227,17.2562,17.09316,16.98048,1237648705114407200,3722390925977166e3,STAR,F2,segue2,3306,54922,603,0.9805594445750936,0.16492501121610512
145.284138787487,0.706298162339648,20.36442,18.21354,17.38881,17.11562,17.32,1237648722289295600,299583960567015400,STAR,K1,sdss,266,51630,344,119.108542133624,0.125410963064053,20.49907,18.39958,17.66009,17.46009,17.32308,1237646797062866e3,8389239748133102e3,STAR,K1IVa (142091),boss,7451,56739,580,0.8884802725336132,-0.8961474354925727
177.7774159225,-0.932742262224673,22.38503,19.6858,18.24022,17.45091,17.01614,1237648720156033300,319815254647269400,STAR,M1,sdss,284,51943,217,108.957035235271,0.418050886150459,21.74512,19.13112,17.70473,16.9323,16.51691,1237646797595346700,8388092132586398e3,STAR,K5 (G_19-24),boss,7450,56722,501,0.9368823659033215,-0.5446092664847206
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,188.06545757777,0.286300435590839,18.6269,17.29828,16.8072,16.6363,16.56998,1237648721771167700,325958723443677e4,STAR,F9,segue1,2895,54567,389,0.985260183966839,0.3300063768885427
145.637274596775,0.373311362607902,19.20753,17.87736,17.30583,17.08623,16.96132,1237648721752555500,299596604950734850,STAR,F9,sdss,266,51630,390,222.055495653338,-0.20175375608834,17.80102,16.34036,15.78953,15.5746,15.47668,1237648721249173500,3275289911191693300,STAR,F9,segue1,2909,54653,171,0.99605303423316,1.112323990477536
145.575898289079,-0.42207398057896,16.94769,15.68956,15.6881,15.73242,15.80791,1237648720678813700,299553449119344640,STAR,A0,sdss,266,51630,233,183.045601951248,1.1813091978304,19.629270000000002,18.46295,18.47249,18.58466,18.70054,1237648722842681300,3722335950395777e3,STAR,A0,segue2,3306,54922,403,0.995951170790809,1.097226890526141
145.566789031631,0.995268127605047,18.91744,17.79122,17.32336,17.11779,17.05456,1237650797293469700,299593306415851500,STAR,F5,sdss,266,51630,378,60.2351927836492,-6.61725846002409,20.48989,19.60064,19.15942,18.95625,18.83149,1237649961385853e3,2331740144224200700,STAR,F5,segue1,2071,53741,5,0.9975235715777202,1.388386112856412
