ra,dec,u,g,r,i,z,objid,specobjid,class,subclass,survey,plate,mjd,fiberid,ra1,dec1,u1,g1,r1,i1,z1,objid1,specobjid1,class1,subclass1,survey1,plate1,mjd1,fiberid1,cor,cor_logit
145.292820879058,0.376326323154304,19.31302,18.13527,17.67289,17.49996,17.44187,1237648721752424700,299584510322829300,STAR,F2,sdss,266,51630,346,50.6994375438053,-7.93437135697963,18.20685,17.23253,16.81741,16.64949,16.54285,1237649961381658600,517937354049087500,STAR,F5,sdss,460,51924,85,0.9802807484383586,0.0402437417509536
194.624513674022,-1.09175180971719,20.5499,19.43064,19.51074,19.57095,19.64182,123764870297138e4,329922236146280450,STAR,A0,sdss,293,51689,122,50.7479947210702,-8.03243520811792,20.06356,19.51218,19.68281,19.74606,19.86298,1237649961381658600,517936254537459700,STAR,WD,sdss,460,51924,81,0.9899869978186076,0.4524956982243425
146.176134062155,-0.982427731732799,18.88086,17.73562,17.57361,17.55848,17.5657,1237648720142205e3,299511942555396100,STAR,A0,sdss,266,51630,82,50.8169885247973,-7.97339583081108,20.18863,19.64949,19.55221,19.58292,19.5681,1237649961381724200,517940377706063900,STAR,WD,sdss,460,51924,96,0.994567274807223,0.8231614412523454
193.568369210454,0.137563115237893,16.5374,15.31568,15.50973,15.65817,15.73511,1237648704581533700,329995353669527550,STAR,A0,sdss,293,51689,388,47.7152740546916,-7.91674575706939,15.76157,15.47817,15.73664,15.89711,16.11838,1237649961917218800,516849112415496200,STAR,CV,sdss,459,51924,222,-0.19027769009809187,-2.9762411985304604
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,47.8913219293326,-7.79149942921056,17.9573,17.07601,16.77727,16.64708,16.60619,123764996191735e4,516840041444567040,STAR,A0,sdss,459,51924,189,0.9805733967964472,0.04936312867077544
147.25535124738,-0.319321033029082,16.94885,16.49758,16.64236,16.81161,17.01174,1237650795683643400,2.9949654939260723e+17,STAR,WD,sdss,266,51630,26,48.5428295930965,-7.85724389047482,19.52433,19.49861,19.66424,19.8909,20.101680000000002,1237649961917612300,516837567543404540,STAR,OB,sdss,459,51924,180,0.9760279407142631,-0.07900090994850457
263.322765739438,57.8875261965306,18.35187,17.52375,16.79007,16.6256,16.5752,1237659897247367200,403195892208789500,STAR,G0,sdss,358,51818,450,323.267788274852,-8.53678730023348,20.7483,19.02132,18.33428,18.23135,18.62899,1237652598492365300,721757951886387200,STAR,L5.5,sdss,641,52176,204,-0.8351001430222373,-4.1987827787447465
228.221632965008,2.23303222472945,18.24767,17.09143,16.60806,16.86779,16.37197,1237651736851775500,608146511880022e3,STAR,G2,sdss,540,51996,584,325.578818458225,-8.69724158312655,19.71737,18.61336,18.20861,18.4942,18.00496,1237652598493348e3,1326389027615565800,STAR,G2,sdss,1178,52825,287,0.9882265108967759,0.3541429756564714
178.234273850894,-1.05582204914454,19.68501,17.8984,17.24895,17.03903,16.91506,1237674648854200600,3.1978062003099443e+17,STAR,K1,sdss,284,51943,91,322.990990188364,-7.95400542031325,21.20364,19.74829,19.13361,18.93192,18.48465,1237652599029105e3,721756027741038600,STAR,F9,sdss,641,52176,197,0.8414472668718694,-1.262569895894723
145.292820879058,0.376326323154304,19.31302,18.13527,17.67289,17.49996,17.44187,1237648721752424700,299584510322829300,STAR,F2,sdss,266,51630,346,323.12240673064,-7.94283934650581,19.27405,18.27206,17.859,17.72233,17.61969,1237652599029170400,721755477985224700,STAR,G0,sdss,641,52176,195,0.9623989134463186,-0.35504230674143544
179.134074718363,-0.565218035971066,20.02479,19.02817,18.92691,18.91533,18.97368,1237648720693494300,319761378577508350,STAR,A0,sdss,284,51943,21,325.849766747763,-8.25959594291161,19.23561,18.79918,18.78966,18.83239,18.96855,123765259903035e4,1326372534941149200,STAR,WD,sdss,1178,52825,227,0.9928054133866633,0.6529872933627131
145.84174073867,-0.27775417839393,18.4085,17.16402,16.95854,16.87708,16.88028,1237650795682988e3,299543553514694660,STAR,A0,sdss,266,51630,197,326.300424823828,-8.34041856754533,17.31539,16.030639999999998,15.88957,15.85834,15.8722,1237652599030546400,1326355767388825600,STAR,F5,sdss,1178,52825,166,0.9822806496333699,0.10543791942248083
145.292820879058,0.376326323154304,19.31302,18.13527,17.67289,17.49996,17.44187,1237648721752424700,299584510322829300,STAR,F2,sdss,266,51630,346,325.457932726333,-7.84362136443409,19.4511,18.31661,17.87758,17.73467,17.65858,1237652599567024400,1326408543946958800,STAR,G2,sdss,1178,52825,358,0.9932915660262602,0.6953885059367738
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,326.076086578624,-7.90563188485894,18.64491,17.37727,16.88523,16.70239,16.63939,1237652599567286300,1326364838359754800,STAR,F9,sdss,1178,52825,199,0.9878391817243477,0.334476359022638
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,51.5529842137086,-8.04208310910997,18.4599,17.34914,16.86298,16.66271,16.57293,1237652899159801900,517916738206066700,STAR,G0,sdss,460,51924,10,0.9452494172733059,-0.5872781542606937
145.84174073867,-0.27775417839393,18.4085,17.16402,16.95854,16.87708,16.88028,1237650795682988e3,299543553514694660,STAR,A0,sdss,266,51630,197,36.1745546311542,-9.28756224676148,17.95231,16.87937,16.73197,16.71305,16.75502,1237652899689988e3,511238854066333700,STAR,A0,sdss,454,51908,292,0.9978476429803176,1.3833313463216126
145.292820879058,0.376326323154304,19.31302,18.13527,17.67289,17.49996,17.44187,1237648721752424700,299584510322829300,STAR,F2,sdss,266,51630,346,36.1495317299651,-9.38379734100433,18.91644,17.8493,17.46194,17.33349,17.27726,1237652899689988e3,511238304310519800,STAR,F2,sdss,454,51908,290,0.9947697740414189,0.8461643885284624
