ra,dec,u,g,r,i,z,objid,specobjid,class,subclass,survey,plate,mjd,fiberid,ra1,dec1,u1,g1,r1,i1,z1,objid1,specobjid1,class1,subclass1,survey1,plate1,mjd1,fiberid1,cor,cor_logit
185.228054363181,-0.902745360489629,17.43396,15.90287,15.32008,15.07339,14.96915,1237648720159309800,2880132570387867648,STAR,F9,segue1,2558,54140,293,184.637615578487,0.570228913534244,18.39611,17.04547,16.51354,16.29041,16.15596,1237648705114472400,3722397797924839424,STAR,G2,segue2,3306,54922,628,0.9325137981440305,-0.21052610262877605
185.796563115642,57.3648974418524,19.2924,18.35688,18.039,17.9205,17.92239,1237657611804409900,1480578490410493952,STAR,F5,sdss,1315,52791,73,184.586432374302,0.476427907923213,19.81699,18.7424,18.4515,18.34944,18.29893,1237648705114472400,3722397248169025536,STAR,F5,segue2,3306,54922,626,0.9951648257213712,-0.21052610262877605
204.221323025331,-2.642309770946,18.05793,17.13043,16.83043,16.71329,16.67058,123765549436928e4,1025713272654948352,STAR,A0,sdss,911,52426,67,204.197259093929,0.524719518421007,19.71546,18.57995,18.57398,18.56696,18.62934,1237648705123058e3,336741132081850368,STAR,A0,sdss,299,51671,353,0.9964547740071116,-0.21052610262877605
205.104041678388,5.72914408727168,19.26122,18.26682,17.87709,17.72843,17.65835,1237655126628827400,961608170453624832,STAR,F5,sdss,854,52373,326,204.474981111845,0.632536793588005,17.05081,16.14295,16.01832,16.02457,16.06061,1237648705123188700,336733710378362880,STAR,A0,sdss,299,51671,326,0.98954552115309,-0.21052610262877605
184.184223380827,0.484366726042185,20.01276,18.63364,18.15839,18.01027,17.95712,1237648705114276e3,364964495971346432,STAR,F9,sdss,324,51666,629,183.359287158886,0.878706514875659,17.03705,16.04642,15.6545,15.51321,15.42417,1237648705650819e3,3722348869657403392,STAR,F5,segue2,3306,54922,450,0.9848896562658745,-0.21052610262877605
184.042925385193,1.04601766478456,19.42911,17.78623,17.13734,16.91684,16.78003,1237648705651081500,363831723261192192,STAR,K1,sdss,323,51615,604,183.522832479553,0.987768743026422,18.75182,17.44838,16.93106,16.72196,16.58987,1237648705650884600,3722370035256238080,STAR,F9,segue2,3306,54922,527,0.85055202633617,-0.21052610262877605
185.065069513291,0.142442894170629,18.75478,17.58247,17.08046,16.87063,16.75911,1237648704577798100,2880159233544841216,STAR,G0,segue1,2558,54140,390,183.574225417529,0.935610462371243,17.77654,16.8332,16.42784,16.26889,16.19429,1237648705650884600,3722371409645772800,STAR,F5,segue2,3306,54922,532,0.9378388696389169,-0.21052610262877605
184.776910756171,47.172488625298,19.22616,18.15235,18.02695,18.03468,18.07533,1237661357007438e3,1633726721733715968,STAR,A0,sdss,1451,53117,167,183.682801462459,0.933185651957661,17.3507,16.10571,16.13367,16.16031,16.17935,1237648705650950100,3722371134767865856,STAR,A0,segue2,3306,54922,531,0.99277938002408606,-0.21052610262877605
183.851482660411,-0.291815938416369,20.08105,18.28409,17.54534,17.28441,17.11224,1237648704040403200,363695658697254912,STAR,F9,sdss,323,51615,109,183.65443266807,0.943336597348337,19.13228,17.77699,17.18725,16.93786,16.80109,1237648705650950400,3722371959401586688,STAR,F9,segue2,3306,54922,534,0.754800329710039,-0.21052610262877605
184.581280372302,-0.546055658177768,18.56569,17.30737,16.8743,16.72848,16.665,1237648720695853e3,324313632550709248,STAR,G2,sdss,288,52000,198,183.802867421182,0.879355998355641,18.11135,17.14221,16.79901,16.67677,16.59484,1237648705651015700,3722383229395771392,STAR,F5,segue2,3306,54922,575,0.9699461688034492,-0.21052610262877605
186.022822434397,39.5030913587054,18.58625,16.34972,15.43524,15.04792,14.85622,1237664667909095400,3645689269080662016,STAR,K1,segue2,3238,54885,92,184.090511344199,0.987209164717432,17.95151,16.29458,15.54491,15.19694,14.96311,1237648705651146800,3722382404762050560,STAR,K3,segue2,3306,54922,572,0.9197101377692265,-0.21052610262877605
185.15534199443,59.7833589300809,17.02321,16.11992,15.79455,15.67343,15.65545,1237655107841097700,1075251768759183360,STAR,F5,sdss,955,52409,63,184.183544173582,0.971832314385197,18.43665,17.53825,17.276,17.16946,17.08344,1237648705651146800,3722391750610886656,STAR,A0,segue2,3306,54922,606,0.9839737630178685,-0.21052610262877605
185.806909629141,61.8799494757797,18.29125,17.02435,16.57715,16.43157,16.37577,1237655369288253400,878267937796941824,STAR,F9,sdss,780,52370,240,184.202439576785,0.974351534956353,17.86053,16.73753,16.38367,16.25325,16.16975,1237648705651146800,3722395598901583872,STAR,F2,segue2,3306,54922,620,0.9919692959345748,-0.21052610262877605
